p,o,p1,o1
swc:isSuperEventOf,iswc2012:special/mentor-lunch,rdfs:label,Mentor Lunch
swc:isSuperEventOf,iswc2012:special/mentor-lunch,iCal:dtEnd,2012-11-14T14:00:00+05:00
swc:isSuperEventOf,iswc2012:special/mentor-lunch,iCal:dtStart,2012-11-14T12:30:00+05:00
swc:isSuperEventOf,iswc2012:special/minute-mandess,swrc:abstract,"In this session, authors of a submission to the posters and demonstration track as well as the Semantic Web Challenge provide a 1 minute teaser for their poster or demo. This year, we have an exciting mix of submissions treating questions such as ""How can we interact efficiently with Linked Data?"", ""How can we visualize data in the Semantic Web?"" or ""How can we query and analyze Semantic Web data?"
swc:isSuperEventOf,iswc2012:special/minute-mandess,rdf:type,swc:SpecialEvent
swc:isSuperEventOf,iswc2012:special/minute-mandess,rdfs:label,"Poster, Demo, and SWC Minute Mandess"
swc:isSuperEventOf,iswc2012:special/minute-mandess,iCal:dtEnd,2012-11-13T17:30:00+05:00
swc:isSuperEventOf,iswc2012:special/minute-mandess,iCal:dtStart,2012-11-13T16:00:00+05:00
swc:isSuperEventOf,iswc2012:special/opening-ceremony,rdf:type,swc:SpecialEvent
swc:isSuperEventOf,iswc2012:special/opening-ceremony,rdfs:label,Opening Ceremony
swc:isSuperEventOf,iswc2012:special/opening-ceremony,iCal:dtEnd,2012-11-13T09:00:00+05:00
swc:isSuperEventOf,iswc2012:special/opening-ceremony,iCal:dtStart,2012-11-13T08:30:00+05:00
swc:isSuperEventOf,iswc2012:special/poster-demo-swc-reception,rdf:type,swc:SpecialEvent
swc:isSuperEventOf,iswc2012:special/poster-demo-swc-reception,rdfs:label,"Poster/Demo Session, Semantic Web Challenge and Reception"
swc:isSuperEventOf,iswc2012:special/poster-demo-swc-reception,iCal:dtEnd,2012-11-13T21:00:00+05:00
swc:isSuperEventOf,iswc2012:special/poster-demo-swc-reception,iCal:dtStart,2012-11-13T18:30:00+05:00
swc:isSuperEventOf,iswc2012:special/registration-2012-11-13,rdf:type,swc:SpecialEvent
swc:isSuperEventOf,iswc2012:special/registration-2012-11-13,rdfs:label,Registration
swc:isSuperEventOf,iswc2012:special/registration-2012-11-13,iCal:dtEnd,2012-11-13T21:00:00+05:00
swc:isSuperEventOf,iswc2012:special/registration-2012-11-13,iCal:dtStart,2012-11-13T08:30:00+05:00
swc:isSuperEventOf,iswc2012:special/registration-2012-11-14,rdf:type,swc:SpecialEvent
swc:isSuperEventOf,iswc2012:special/registration-2012-11-14,rdfs:label,Registration
swc:isSuperEventOf,iswc2012:special/registration-2012-11-14,iCal:dtEnd,2012-11-14T19:30:00+05:00
swc:isSuperEventOf,iswc2012:special/registration-2012-11-14,iCal:dtStart,2012-11-14T09:00:00+05:00
swc:isSuperEventOf,iswc2012:special/schema-org,rdf:type,swc:SpecialEvent
swc:isSuperEventOf,iswc2012:special/schema-org,rdfs:label,schema.org update
swc:isSuperEventOf,iswc2012:special/schema-org,iCal:dtEnd,2012-11-13T17:30:00+05:00
swc:isSuperEventOf,iswc2012:special/schema-org,iCal:dtStart,2012-11-13T17:00:00+05:00
swc:isSuperEventOf,iswc2012:special/semantic-web-challenge,swrc:abstract,"The Semantic Web Challenge, now in its 10th year, aims to demonstrate practical progress towards achieving the vision of the Semantic Web. The competition, organised in 3 rounds, enables practitioners and scientists to showcase leading-edge real world applications of Semantic Web technology."
swc:isSuperEventOf,iswc2012:special/semantic-web-challenge,rdf:type,swc:SpecialEvent
swc:isSuperEventOf,iswc2012:special/semantic-web-challenge,rdfs:label,Semantic Web Challenge
swc:isSuperEventOf,iswc2012:special/semantic-web-challenge,iCal:dtEnd,2012-11-14T12:30:00+05:00
swc:isSuperEventOf,iswc2012:special/semantic-web-challenge,iCal:dtStart,2012-11-14T11:00:00+05:00
swc:isSuperEventOf,iswc2012:special/sw-journal-lunch,rdf:type,swc:SpecialEvent
swc:isSuperEventOf,iswc2012:special/sw-journal-lunch,rdfs:label,SW Journal Lunch
swc:isSuperEventOf,iswc2012:special/sw-journal-lunch,iCal:dtEnd,2012-11-15T15:30:00+05:00
swc:isSuperEventOf,iswc2012:special/sw-journal-lunch,iCal:dtStart,2012-11-15T14:00:00+05:00
swc:isSuperEventOf,iswc2012:talk/evaluation-10,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/evaluation-15,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/evaluation-17,swrc:orderInSession,3
swc:isSuperEventOf,iswc2012:talk/evaluation-18,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/evaluation-27,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/evaluation-35,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/evaluation-37,swrc:orderInSession,3
swc:isSuperEventOf,iswc2012:talk/evaluation-41,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/industry-01,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/industry-02,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/industry-03,swrc:orderInSession,3
swc:isSuperEventOf,iswc2012:talk/industry-04,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/industry-05,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/industry-06,swrc:orderInSession,3
swc:isSuperEventOf,iswc2012:talk/industry-07,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/industry-08,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/industry-09,swrc:orderInSession,3
swc:isSuperEventOf,iswc2012:talk/industry-10,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/industry-11,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/industry-12,swrc:orderInSession,3
swc:isSuperEventOf,iswc2012:talk/inuse-04,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/inuse-09,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/inuse-10,swrc:orderInSession,3
swc:isSuperEventOf,iswc2012:talk/inuse-17,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/inuse-18,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/inuse-26,swrc:orderInSession,3
swc:isSuperEventOf,iswc2012:talk/inuse-27,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/inuse-32,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/inuse-35,swrc:orderInSession,3
swc:isSuperEventOf,iswc2012:talk/inuse-39,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/inuse-51,swrc:orderInSession,3
swc:isSuperEventOf,iswc2012:talk/inuse-53,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/inuse-54,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/inuse-58,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/inuse-71,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/inuse-72,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/inuse-78,swrc:orderInSession,3
swc:isSuperEventOf,iswc2012:talk/keynote-1,rdf:type,swc:TalkEvent
swc:isSuperEventOf,iswc2012:talk/keynote-1,rdfs:label,Keynote 1
swc:isSuperEventOf,iswc2012:talk/keynote-1,iCal:dtEnd,2012-11-13T10:30:00+05:00
swc:isSuperEventOf,iswc2012:talk/keynote-1,iCal:dtStart,2012-11-13T09:00:00+05:00
swc:isSuperEventOf,iswc2012:talk/keynote-2,rdf:type,swc:TalkEvent
swc:isSuperEventOf,iswc2012:talk/keynote-2,rdfs:label,Keynote 2
swc:isSuperEventOf,iswc2012:talk/keynote-2,iCal:dtEnd,2012-11-14T10:30:00+05:00
swc:isSuperEventOf,iswc2012:talk/keynote-2,iCal:dtStart,2012-11-14T09:00:00+05:00
swc:isSuperEventOf,iswc2012:talk/keynote-3,rdf:type,swc:TalkEvent
swc:isSuperEventOf,iswc2012:talk/keynote-3,rdfs:label,Keynote 3
swc:isSuperEventOf,iswc2012:talk/keynote-3,iCal:dtEnd,2012-11-15T10:30:00+05:00
swc:isSuperEventOf,iswc2012:talk/keynote-3,iCal:dtStart,2012-11-15T09:00:00+05:00
swc:isSuperEventOf,iswc2012:talk/research-01,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/research-02,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/research-03,swrc:orderInSession,3
swc:isSuperEventOf,iswc2012:talk/research-04,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/research-05,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/research-06,swrc:orderInSession,3
swc:isSuperEventOf,iswc2012:talk/research-07,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/research-08,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/research-09,swrc:orderInSession,3
swc:isSuperEventOf,iswc2012:talk/research-10,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/research-11,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/research-12,swrc:orderInSession,3
swc:isSuperEventOf,iswc2012:talk/research-13,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/research-14,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/research-15,swrc:orderInSession,3
swc:isSuperEventOf,iswc2012:talk/research-16,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/research-17,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/research-18,swrc:orderInSession,3
swc:isSuperEventOf,iswc2012:talk/research-19,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/research-20,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/research-21,swrc:orderInSession,3
swc:isSuperEventOf,iswc2012:talk/research-22,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/research-23,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/research-24,swrc:orderInSession,3
swc:isSuperEventOf,iswc2012:talk/research-25,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/research-26,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/research-27,swrc:orderInSession,3
swc:isSuperEventOf,iswc2012:talk/research-28,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/research-29,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/research-30,swrc:orderInSession,3
swc:isSuperEventOf,iswc2012:talk/research-31,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/research-32,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/research-33,swrc:orderInSession,3
swc:isSuperEventOf,iswc2012:talk/research-34,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/research-35,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/research-36,swrc:orderInSession,3
swc:isSuperEventOf,iswc2012:talk/research-37,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/research-38,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:talk/research-39,swrc:orderInSession,3
swc:isSuperEventOf,iswc2012:talk/research-40,swrc:orderInSession,1
swc:isSuperEventOf,iswc2012:talk/research-41,swrc:orderInSession,2
swc:isSuperEventOf,iswc2012:track/doctoral-consortium,rdf:type,swc:TrackEvent
swc:isSuperEventOf,iswc2012:track/doctoral-consortium,rdfs:label,Doctoral Consortium
swc:isSuperEventOf,iswc2012:track/evaluation,rdf:type,swc:TrackEvent
swc:isSuperEventOf,iswc2012:track/evaluation,rdfs:label,Evaluations and Experiments Track
swc:isSuperEventOf,iswc2012:track/industry,rdf:type,swc:TrackEvent
swc:isSuperEventOf,iswc2012:track/industry,rdfs:label,Industry Track
swc:isSuperEventOf,iswc2012:track/inuse,rdf:type,swc:TrackEvent
swc:isSuperEventOf,iswc2012:track/inuse,rdfs:label,In-Use Track
swc:isSuperEventOf,iswc2012:track/poster-demo,rdf:type,swc:TrackEvent
swc:isSuperEventOf,iswc2012:track/poster-demo,rdfs:label,Posters and Demos
swc:isSuperEventOf,iswc2012:track/research,rdf:type,swc:TrackEvent
swc:isSuperEventOf,iswc2012:track/research,rdfs:label,Research Track
swc:isSuperEventOf,iswc2012:track/semantic-web-challenge,rdf:type,swc:TrackEvent
swc:isSuperEventOf,iswc2012:track/semantic-web-challenge,rdfs:label,Semantic Web Challenge
swc:isSuperEventOf,iswc2012:tutorial-1,swc:hasAcronym,CLOUD
swc:isSuperEventOf,iswc2012:tutorial-1,dc:subject, Cloud Systems
swc:isSuperEventOf,iswc2012:tutorial-1,dc:subject, MapReduce
swc:isSuperEventOf,iswc2012:tutorial-1,dc:subject, Query Optimization
swc:isSuperEventOf,iswc2012:tutorial-1,dc:subject, RDF Query Processing
swc:isSuperEventOf,iswc2012:tutorial-1,dc:subject,RDF Query Processing
swc:isSuperEventOf,iswc2012:tutorial-1,dcterms:subject, Cloud Systems
swc:isSuperEventOf,iswc2012:tutorial-1,dcterms:subject, MapReduce
swc:isSuperEventOf,iswc2012:tutorial-1,dcterms:subject, Query Optimization
swc:isSuperEventOf,iswc2012:tutorial-1,dcterms:subject, RDF Query Processing
swc:isSuperEventOf,iswc2012:tutorial-1,dcterms:subject,RDF Query Processing
swc:isSuperEventOf,iswc2012:tutorial-1,swrc:abstract,"Cloud computing platforms such as Amazons EC2 and Hadoop have had significant adoption as large scale data processing platforms. Their attraction is the possibility of fault-tolerant execution and elastic scaling up or down of resources based on user requirements with minimal administrative burden to users. The rapid surge in volume of available RDF data has sharpened focus on the issue of large scale processing of RDF, making RDF query processing in the cloud an important topic. RDF data processing in the cloud requires considerations about appropriate storage models and computing environments and the impact of their underlying assumptions on RDFs schema-last and join-intensive workloads. Some example considerations are the absence of indexes and statistics usually relied on by traditional query optimization techniques and the heavy materialization in runtime execution environments such as Hadoop vs. pipelined execution plans used in traditional data processing systems. This tutorial will cover RDF query processing in the cloud, particularly MapReduce execution platforms such as Hadoop. It will overview the basics of cloud computing and cloud data storage systems, optimization issues and the state-of-the-art in RDF query optimization for cloud systems. It will also discuss future directions and open issues in query optimization for MapReduce environments."
swc:isSuperEventOf,iswc2012:tutorial-1,swrc:listKeyword,"RDF Query Processing, Cloud Systems, MapReduce, Query Optimization, RDF Query Processing"
swc:isSuperEventOf,iswc2012:tutorial-1,rdf:type,swc:TutorialEvent
swc:isSuperEventOf,iswc2012:tutorial-1,rdfs:label,RDF Query Processing in the Cloud
swc:isSuperEventOf,iswc2012:tutorial-1,iCal:dtEnd,2012-11-11T17:30:00+05:00
swc:isSuperEventOf,iswc2012:tutorial-1,iCal:dtStart,2012-11-11T09:00:00+05:00
swc:isSuperEventOf,iswc2012:tutorial-1,foaf:homepage,http://research.csc.ncsu.edu/coul/RAPID/RDFQPCloud
swc:isSuperEventOf,iswc2012:tutorial-2,swc:hasAcronym,SW Rules
swc:isSuperEventOf,iswc2012:tutorial-2,dc:subject, OWL
swc:isSuperEventOf,iswc2012:tutorial-2,dc:subject, RIF
swc:isSuperEventOf,iswc2012:tutorial-2,dc:subject, SPARQL
swc:isSuperEventOf,iswc2012:tutorial-2,dc:subject, declarative logic programs
swc:isSuperEventOf,iswc2012:tutorial-2,dc:subject, ontologies
swc:isSuperEventOf,iswc2012:tutorial-2,dc:subject,rules
swc:isSuperEventOf,iswc2012:tutorial-2,dcterms:subject, OWL
swc:isSuperEventOf,iswc2012:tutorial-2,dcterms:subject, RIF
swc:isSuperEventOf,iswc2012:tutorial-2,dcterms:subject, SPARQL
swc:isSuperEventOf,iswc2012:tutorial-2,dcterms:subject, declarative logic programs
swc:isSuperEventOf,iswc2012:tutorial-2,dcterms:subject, ontologies
swc:isSuperEventOf,iswc2012:tutorial-2,dcterms:subject,rules
swc:isSuperEventOf,iswc2012:tutorial-2,swrc:abstract,"The area of semantic rules is perhaps the most important frontier today for the Semantic Webs core technology and standards. Recent progress includes major initial industry standards from W3C and OMG, and fundamental advances in the underlying knowledge representation techniques in declarative logic programs, including most recently for efficient higher-order defaults with sound integration of first order logic ontologies (OWL). Recent progress also includes methods to use rules for, or with, more expressive OWL ontologies; increasing integration of rules with query /search in SPARQL and relational databases; substantive translations between heterogeneous types of commercial rule engines; development of open-source tools for inferencing and interoperability; performance benchmarking of rule systems; a wide range of emerging applications including in business, science, and trust; and accelerating industry investments / acquisitions in the technology including by integrated software companies such as Oracle, IBM, and Microsoft. This tutorial will provide a comprehensive and up-to-date introduction to these developments and to the fundamentals of the key technologies and outstanding research issues involved. It will explore example application scenarios, overall requirements and challenges, and touch upon business /social value and strategy considerations."
swc:isSuperEventOf,iswc2012:tutorial-2,swrc:listKeyword,"rules, ontologies, RIF, SPARQL, declarative logic programs, OWL"
swc:isSuperEventOf,iswc2012:tutorial-2,rdf:type,swc:TutorialEvent
swc:isSuperEventOf,iswc2012:tutorial-2,rdfs:label,"Semantic Web Rules: Fundamentals, Applications, and Standards"
swc:isSuperEventOf,iswc2012:tutorial-2,iCal:dtEnd,2012-11-11T17:30:00+05:00
swc:isSuperEventOf,iswc2012:tutorial-2,iCal:dtStart,2012-11-11T14:00:00+05:00
swc:isSuperEventOf,iswc2012:tutorial-2,foaf:homepage,http://semwebcentral.org/iswc2012-rules-tutorial/
swc:isSuperEventOf,iswc2012:tutorial-3,swc:hasAcronym,TAG
swc:isSuperEventOf,iswc2012:tutorial-3,dc:subject, Graph
swc:isSuperEventOf,iswc2012:tutorial-3,dc:subject, Linked Data
swc:isSuperEventOf,iswc2012:tutorial-3,dc:subject, Tensor
swc:isSuperEventOf,iswc2012:tutorial-3,dc:subject,Machine Learning
swc:isSuperEventOf,iswc2012:tutorial-3,dcterms:subject, Graph
swc:isSuperEventOf,iswc2012:tutorial-3,dcterms:subject, Linked Data
swc:isSuperEventOf,iswc2012:tutorial-3,dcterms:subject, Tensor
swc:isSuperEventOf,iswc2012:tutorial-3,dcterms:subject,Machine Learning
swc:isSuperEventOf,iswc2012:tutorial-3,swrc:abstract,"Machine learning has become increasingly important in the context of Linked Data as it is an enabling technology for many important tasks such as link prediction, information retrieval or group detection. The fundamental data structure of Linked Data is a graph. Graphs are also ubiquitous in many other fields of application, such as social networks, bioinformatics or the World Wide Web. Recently, tensor factorizations have emerged as a highly promising approach to machine learning on graph-structured data, showing both scalability and excellent results on benchmark data sets, while matching perfectly to the triple structure of RDF. This tutorial will provide an introduction to tensor factorizations and their applications for machine learning on graphs. By the means of concrete tasks such as link prediction we will discuss several factorization methods in-depth and also provide necessary theoretical background on tensors in general. Emphasis is put on tensor models that are of interest to Linked Data, which will include models that are able to factorize large-scale graphs with millions of entities and known facts or models that can handle the open-world assumption of Linked Data. Furthermore, we will discuss tensor models for temporal and sequential graph data, e.g. to analyze social networks over time."
swc:isSuperEventOf,iswc2012:tutorial-3,swrc:listKeyword,"Machine Learning, Tensor, Graph, Linked Data"
swc:isSuperEventOf,iswc2012:tutorial-3,rdf:type,swc:TutorialEvent
swc:isSuperEventOf,iswc2012:tutorial-3,rdfs:label,Learning on Linked Data: Tensors and their Applications in Graph-Structured Domains
swc:isSuperEventOf,iswc2012:tutorial-3,iCal:dtEnd,2012-11-11T17:30:00+05:00
swc:isSuperEventOf,iswc2012:tutorial-3,iCal:dtStart,2012-11-11T14:00:00+05:00
swc:isSuperEventOf,iswc2012:tutorial-3,foaf:homepage,http://www.cip.ifi.lmu.de/~nickel/iswc2012-learning-on-linked-data-with-tensors
swc:isSuperEventOf,iswc2012:tutorial-4,swc:hasAcronym,LL-NLP
swc:isSuperEventOf,iswc2012:tutorial-4,dc:subject, Machine Learning for NLP
swc:isSuperEventOf,iswc2012:tutorial-4,dc:subject, Named entities
swc:isSuperEventOf,iswc2012:tutorial-4,dc:subject, Semantic web literals
swc:isSuperEventOf,iswc2012:tutorial-4,dc:subject, Text processing
swc:isSuperEventOf,iswc2012:tutorial-4,dc:subject,Natural Language Processing (NLP)
swc:isSuperEventOf,iswc2012:tutorial-4,dcterms:subject, Machine Learning for NLP
swc:isSuperEventOf,iswc2012:tutorial-4,dcterms:subject, Named entities
swc:isSuperEventOf,iswc2012:tutorial-4,dcterms:subject, Semantic web literals
swc:isSuperEventOf,iswc2012:tutorial-4,dcterms:subject, Text processing
swc:isSuperEventOf,iswc2012:tutorial-4,dcterms:subject,Natural Language Processing (NLP)
swc:isSuperEventOf,iswc2012:tutorial-4,swrc:abstract,"In this tutorial, we will start with the basics of natural language processing (NLP) and will explain different levels of analysis (segmentation, morphology, lexicon, syntax, semantic). We will then look at the specific tasks involved in mining sentences to extract resource description framework (RDF) triples and show the importance that each level of language analysis can play in such tasks. NLP researchers have been working on such tasks for many years and have developed many algorithms to perform part-of-speech tagging, parsing, semantic disambiguation, named entity recognition and relation extraction. We will present baseline algorithms for these tasks to show expected results from state-of-the-art research. As many algorithms use machine learning (ML) techniques, we will provide a simple introduction to the aims and general principles behind such techniques and explain why they are so important to the NLP community. We will also explore problems that arise when extracting knowledge from multiple sentences and how that is closely related to concept mapping problems, which are familiar to the semantic web community. Since fully automatic text mining is quite a difficult task, we will emphasize that semi-automatic approaches can be effective and viable solutions for facilitating the RDFization of textual data."
swc:isSuperEventOf,iswc2012:tutorial-4,swrc:listKeyword,"Natural Language Processing (NLP), Named entities, Machine Learning for NLP, Semantic web literals, Text processing"
swc:isSuperEventOf,iswc2012:tutorial-4,rdf:type,swc:TutorialEvent
swc:isSuperEventOf,iswc2012:tutorial-4,rdfs:label,LL-NLP Tutorial: What to do with long literals? Ask the NLP community...
swc:isSuperEventOf,iswc2012:tutorial-4,iCal:dtEnd,2012-11-11T17:30:00+05:00
swc:isSuperEventOf,iswc2012:tutorial-4,iCal:dtStart,2012-11-11T09:00:00+05:00
swc:isSuperEventOf,iswc2012:tutorial-4,foaf:homepage,http://www.crim.ca/en/r-d/iswc2012-tutorial-LLNLP.html
swc:isSuperEventOf,iswc2012:tutorial-5,swc:hasAcronym,WoD E-Commerce
swc:isSuperEventOf,iswc2012:tutorial-5,swrc:abstract,"A Hands-on Introduction to the GoodRelations Ontology, Schema.org, RDFa and Microdata Authoring, Google Rich Snippets for Products, Yahoo, Bing, and Linked Open Commerce. The Good Relations ontology (http://purl.org/goodrelations/) is one huge success story of applying Semantic Web technology to business challenges. In this tutorial, we will (1) give a comprehensive overview and hands-on training on the conceptual structures of the GoodRelations ontology including patterns for ownership and demand, (2) present the full tool chain for producing and consuming GoodRelations- related data, (3) explain the long-term vision of linked open commerce, (4) describe the main challenges for future research in the field, and (5) discuss advanced topics, like access control, identity and authentication (e.g. with WebID); micropayment services (like Payswarm), and data management issues from the publisher and consumer perspective."
swc:isSuperEventOf,iswc2012:tutorial-5,rdf:type,swc:TutorialEvent
swc:isSuperEventOf,iswc2012:tutorial-5,rdfs:label,The Web of Data for E-Commerce in Brief
swc:isSuperEventOf,iswc2012:tutorial-5,iCal:dtEnd,2012-11-12T12:30:00+05:00
swc:isSuperEventOf,iswc2012:tutorial-5,iCal:dtStart,2012-11-12T09:00:00+05:00
swc:isSuperEventOf,iswc2012:tutorial-5,foaf:homepage,http://wiki.goodrelations-vocabulary.org/Events/ISWC2012
swc:isSuperEventOf,iswc2012:tutorial-6,swc:hasAcronym,Financial IM
swc:isSuperEventOf,iswc2012:tutorial-6,swrc:abstract,"Recent financial crises have demonstrated the need for sophisticated modeling of and deep reasoning about financial events and associated financial information. These tasks present foundational and technical challenges which are best addressed using open standards developed by the Semantic Web community. The tutorial will explains foundational concepts in finance and semantic web technologies, present relevant standards and languages, and work through several use cases and motivating examples in detail."
swc:isSuperEventOf,iswc2012:tutorial-6,rdf:type,swc:TutorialEvent
swc:isSuperEventOf,iswc2012:tutorial-6,rdfs:label,Financial Information Management Using the Semantic Web
swc:isSuperEventOf,iswc2012:tutorial-6,iCal:dtEnd,2012-11-12T17:30:00+05:00
swc:isSuperEventOf,iswc2012:tutorial-6,iCal:dtStart,2012-11-12T14:00:00+05:00
swc:isSuperEventOf,iswc2012:tutorial-6,foaf:homepage,https://wiki.umiacs.umd.edu/clip/ngfci/index.php/ISWC2012Tutorial
swc:isSuperEventOf,iswc2012:tutorial-7,swc:hasAcronym,provenance
swc:isSuperEventOf,iswc2012:tutorial-7,dc:subject, interchange 
swc:isSuperEventOf,iswc2012:tutorial-7,dc:subject, metadata
swc:isSuperEventOf,iswc2012:tutorial-7,dc:subject, web
swc:isSuperEventOf,iswc2012:tutorial-7,dc:subject,provenance
swc:isSuperEventOf,iswc2012:tutorial-7,dcterms:subject, interchange 
swc:isSuperEventOf,iswc2012:tutorial-7,dcterms:subject, metadata
swc:isSuperEventOf,iswc2012:tutorial-7,dcterms:subject, web
swc:isSuperEventOf,iswc2012:tutorial-7,dcterms:subject,provenance
swc:isSuperEventOf,iswc2012:tutorial-7,swrc:abstract,"Provenance (the origin or source) of information is critical in deciding whether information is to be trusted, how it should be integrated with other diverse information sources, and how to give credit to its originators when reusing it. In order to promote the widespread publication of provenance information on the Web, the W3C is producing the W3C PROV set of specifications. These specifications provide a basis for the common exchange of provenance information on the Web. This half- day tutorial provides you with an indepth dive into these specifications including handson information on how to publish, query and access provenance information. You will learn how to model your provenance data using the PROV data model and ontology, how to produce provenance information that enables integrity checking and inferences, as well as how to expose and acquire provenance information using PROV access mechanisms and services."
swc:isSuperEventOf,iswc2012:tutorial-7,swrc:listKeyword,"provenance, interchange , web, metadata"
swc:isSuperEventOf,iswc2012:tutorial-7,rdf:type,swc:TutorialEvent
swc:isSuperEventOf,iswc2012:tutorial-7,rdfs:label,Getting to know PROV - the W3C Provenance Specifications
swc:isSuperEventOf,iswc2012:tutorial-7,iCal:dtEnd,2012-11-12T12:30:00+05:00
swc:isSuperEventOf,iswc2012:tutorial-7,iCal:dtStart,2012-11-12T09:00:00+05:00
swc:isSuperEventOf,iswc2012:tutorial-7,foaf:homepage,http://www.w3.org/2011/prov/wiki/ISWCProvTutorial
swc:isSuperEventOf,iswc2012:tutorial-8,swc:hasAcronym,Streams
swc:isSuperEventOf,iswc2012:tutorial-8,swrc:abstract,"Processing of real-time data streams has become a very important mechanism in many application areas: Smart cities, Smart grid, eHealth, to name but a few. Although semantic technologies have been recognized as one of very important enablers for this type of applications, there are still several challenges to be resolved in order to apply them in real-world applications. Two most important challenges are: an expressive query language that enables the description of complex situations to be detected (considering real-time and historical data) and an efficient asynchronous retrieval mechanism for the large distributed data streams. Beside elaborating on the importance of these challenges for the real-time aware applications, in this tutorial we give an overview of existing approaches for the semantic processing of real-time streams and present a novel approach based on the recent development in two emerging research areas, Complex Event Processing, that enables an efficient in memory processing of huge real-time data and Cloud Computing, that supports an elastic storage of enormous data volumes. Two studies will be demonstrated: We will show conceptual and technical details of the public-available Platform PLAY, that realizes presented approach. We will demonstrate its usage through two applications that combine real-time events coming from Smartphone (geo position, incoming /outgoing /missing calls), Social media (Facebook wall updates and recent tweets) and real-time sensors. The approach for writing semantic adapters for new event sources and semantic patterns to be detected in event streams will be introduced."
swc:isSuperEventOf,iswc2012:tutorial-8,rdf:type,swc:TutorialEvent
swc:isSuperEventOf,iswc2012:tutorial-8,rdfs:label,"Scalable semantic processing of huge, distributed real-time streams: Semantics Between Event Processing and Cloud Computing"
swc:isSuperEventOf,iswc2012:tutorial-8,iCal:dtEnd,2012-11-12T17:30:00+05:00
swc:isSuperEventOf,iswc2012:tutorial-8,iCal:dtStart,2012-11-12T14:00:00+05:00
swc:isSuperEventOf,iswc2012:tutorial-8,foaf:homepage,http://tutorial-iswc12.fzi.de/
swc:isSuperEventOf,iswc2012:tutorial-9,swc:hasAcronym,LD4D
swc:isSuperEventOf,iswc2012:tutorial-9,dc:subject, Digital divide
swc:isSuperEventOf,iswc2012:tutorial-9,dc:subject, Global change
swc:isSuperEventOf,iswc2012:tutorial-9,dc:subject, Linked Data
